,a,[ei],art.一(个)；每一(个)；(同类事物中)任一个
,ambient,['?mbi?nt],"a.周围的,包围着的;环境的"
,ambiguity,[??mbi'gju:iti;??mbi'gju:?ti],"n.模棱两可,模糊"
,ambiguous,[?m'biɡju?s],a.含糊的
,ambition,[?m'bi??n],n.对(成功、权力等)的强烈欲望，野心；雄心
,ambitious,[?m'bi??s],a.有抱负的，雄心勃勃的；有野心的
,ambivalence,[?m'biv?l?ns],n.矛盾心理
,ambivalent,[?m'biv?l?nt],a.(对人或物)有矛盾看法的
,amble,['?mbl],n./v.漫步，缓行
,ambrosial,[?m'br?uzj?l],a.芬香的，特别美味的
,ambulance,['?mbjul?ns],n.救护车，救护船，救护飞机
,ambulant,[?mbjul?nt],a.走动的;适宜于下床活动的
,ambulatory,['?mbjul?t?ri],a.(适宜于)步行的
,ambush,['?mbu?],v.埋伏；伏击
,ameliorate,[?'mi:lj?reit],v.改善，改良
,amenable,[?'mi:n?bl],a.愿顺从的，通情达理的
,amend,[?'mend],v.修正，(通常向更好的方向)变化
,amendment,[?'mendm?nt],n.改正，修正；[法]修正案
,Amendment,[?'mendm?nt],n.宪法修正案
,amenity,[?'mi:niti],n.礼仪；使人感到舒适的事物
,amethyst,['?m?θist],n.紫水晶
,amiable,['eimj?bl],a.（人自身性格）和蔼的，亲切的
,amicable,['?mik?bl],a.（对外界）友好的
,amid,[?'mid],prep.在…中间，在…之中，被…围绕
,amino acid,['?min?u-'?sid],n.[生]氨基酸
,amiss,[?'mis],adv.有毛病地，出差错地
,amity,['?m?ti],n.(人或国之间的)友好关系
,ammonia,[?'m?unj?],n.氨
,amnesia,[?m'ni:zj?],n.健忘症
,amnesty,['?mnesti],n.大赦，特赦
,among,[?'m??],prep.在…之中；在一群(组)之中；于…之间
,amoral,[ei'm?r?l],a.与道德无关的
,amorphous,[?'m?:f?s],a.无定形的
,amortize,[?'m?:taiz],v.分期偿还
,amount,[?'maunt],"n.总数，数量；数额 v.共计；等同,接近(to)"
,amphetamine,[?m'fet??mi:n],"n.[药]氨基丙苯,苯基丙,发非他明"
,amphibian,[?m'fibi?n],n.两栖动物；水陆两用飞行器
,ample,['?mpl],a.富足的；充足的
,amplification,[??mplifi'kei??n],n.扩大
,amplifier,['?mplifai?],n.放大器，扩大器
,amplify,['?mplifai],v.放大；详述
,amplitude,['?mplitju:d],n.广大，广阔
,amputate,"['?mpju,teit]",v.截肢
,amulet,['?mjulit],n.护身符
,amuse,[?'mju:z],v.使愉快，逗某人笑
,amusement,[?'mju:zm?nt],"n.娱乐,消遣,娱乐活动"
,anachronism,[?'n?kr??niz?m],n.年代错误;(所记叙的人或事与年代、历史顺序不符);落伍之人或物
,anachronistic,"[?,n?kr?'nistik]",a.年代出错的
,anaerobe,[?'nei?r?ub;'?n??r?ub],n.厌氧微生物
,anaerobic,"[,?nei?'r?ubik]",a.厌氧的
,anagram,['?n?ɡr?m],n.变形词
,analgesia,"[,?n?l'd?i:zj?]",n.无痛觉，痛觉丧失
,analgesic,[?n?l'd?i:sik],n.镇痛剂；a.止痛的
,analogous,[?'n?l?ɡ?s],a.类似的
,analogue,['?n?l?ɡ],n.类似物；相似体；模拟
,analogy,[?'n?l?d?i],n.相似；类比
,analyse,['?n?laiz],vt.（analyze）分析，分解
,analysis,[?'n?l?sis],n.(pl.analyses)分析；分解
,analytic,"[,?n?'litik,-k?l]",a.(analytical)分析的；分解的
,analyze,['?n?laiz],v.分析，分解
,anarchist,['?n?kist],n.无政府主义者
,anarchy,['?n?ki],n.无政府;政治上的混乱
,anathema,[?'n?θim?],n.被诅咒的人；宗教意义的诅咒
,anatomical,"[,?n?'t?mik?l]",a.解剖学的
,anatomy,[?'n?t?mi],"n.解剖,分析;解剖学"
,ancestor,['?nsist?],n.祖先，祖宗
,ancestral,[?n'sestr?l],"a.祖先的,祖传的"
,ancestry,"['?nsistri,",'?nsestri]n.家系
,anchor,['??k?],v.稳固；固定n.锚
,anchoress,['??k?ris],n.女隐士
,anchorite,['??k?rait],n.隐士(为宗教原因而隐居的人)
,ancient,['ein??nt],a.古代的，古老的，古式的
,ancillary,[?n'sil?ri],a.辅助的；n.助手
,and,"[强 ?nd, 弱 ?nd, ?n]",conj.和，与，而且；那么；接连，又
,anecdotal,[??nek'd?utl;??nik'd?ut?l],"a.轶事的,爱谈奇闻轶事的"
,anecdote,['?nikd?ut],n.短故事；轶事
,anemia,[?'ni:mi?],n.贫血，贫血症
,anemic,[?'ni:mik],a.贫血的，患贫血症的
,anesthesia,[??nis'θi:zi?;??n?s'θi:??],n.感觉缺失;麻醉
,anesthetic,"[,?nis'θetik]",n.麻醉剂；a.麻醉的
,anesthetics,[?nis'θitiks],n.麻醉剂
,angel,['eind??l],n.天使，安琪儿
,anger,['??ɡ?],n.愤怒，气愤 vt.使发怒，激怒 vi.发怒
,angle,['??ɡl],n.角，角度 v.钓鱼；(采用各种方法）取得
,angle bisector,[bai'sekt?],n.角平分线
,angry,['??ɡri],a.生气的，愤怒的；(天气)风雨交加的
,anguish,['??ɡwi?],n.极大痛苦
,angular,['??ɡjul?],a.有角的；(指人)瘦削的
,anhydrous,[?n'haidr?s],a.无水的
,animadvert,"[,?nim?d'v?:t]",v.苛责，非难
,animal,['?nim?l],n.动物，野兽，牲畜 a.动物的，野兽的
,animate,"['?nimit,",'?nimeit]a.活的，有生命的；v.赋予生命
,animated,['?nimeitid],a.活泼的，生动的
,animation,"[,?ni'mei??n]",n.活泼，有生气；卡通制作
,animosity,"[,?ni'm?siti]",n.憎恶，仇恨
,animus,['?nim?s],n.敌意，憎恨
,ankle,['??kl],n.足踝，踝关节
,annals,['?n?lz],n.编年史
,annex,['?neks],n.附件
,annexation,"[,?nek'sei??n]",n.并吞，合并
,annihilate,[?'nai?let],v.消灭
,anniversary,"[,?ni'v?:s?ri]",n.周年，周年纪念日
,annotate,['?n?uteit],v.注解
,announce,[?'nauns],v.宣布，发表；通报?的到来
,announcement,[?'naunsm?nt],"n.宣告,发表"
,announcer,[?'nauns?],n.广播员;报幕员
,annoy,[?'n?i],v.惹恼；打搅，骚扰
,annoyance,[?'n?i?ns],"n.烦恼,烦扰"
,annoying,[?'n?ii?],"a.恼人的,讨厌的;使人愤怒的"
,annual,['?nju?l],a.每年的，一年生的 n.年刊；一年生植物
,annually,['?nju?li],"ad.一年一次,每年"
,annuity,[?'nju:iti;?'nju:?ti],"n.年金,年金享受权;年金保险"
,annul,[?'n?l],v.宣告无效；取消
,anodyne,['?n?udain],n.止痛药
,anomalous,[?'n?m?l?s],a.反常的；不规则的
,anomaly,[?'n?m?li],n.异常，反常
,anonymity,"[,?n?'nimiti]",n.无名，匿名
,anonymous,[?'n?nim?s],a.匿名的
,anonymous,[?'n?nim?s],a.匿名的，无名的，姓氏不明的
,anopheles,[?'n?f??liz],n.(动)疟蚊属
,anorexia,"[,?n?(u)'reksi?]",n.厌食症
,another,[?'n???],a.另一个，又，再 pron.另一个，类似的一个
,anoxia,[?'n?ksi?],n.缺氧(症)
,answer,"['ɑ:ns?, '?n-]",vt.回答，答复，答案 v.回答，答复，响应
,answerable,['ɑ:ns?r?bl;'ɑ:ns?r?b?l],"a.有责任的,敢于承担后果的"
,ant,[?nt],n.蚁；蚂蚁
,antacid,[?nt'?sid],"n.解酸药,抗酸剂"
,antagonism,[?n't?ɡ?niz?m],n.反抗，敌意
,antagonize,[?n't?ɡ?naiz],v.使对抗；与?对抗
,Antarctic,[?n'tɑ:ktik],a.南极的
,antebellum,['?nti'bel?m],a.[拉]战前的;[美]南北战争以前的
,antecedence,[?nti'si:d?ns],n.居先，优先
,antecedent,"[,?nti'si:d?nt]",n.前事；前辈；a.先行的
,antedate,"['?nti,deit]",v.(在信、文件上)写上较早日期；早于
,antediluvian,"[,?ntidi'lu:vi?n]",a.史前的；陈旧的
,antenna,[?n'ten?],n.触角；天线
,anterior,[?n'ti?ri?],a.较早的，以前的
,anthem,['?nθ?m],n.圣歌；赞美歌，国歌
,anthology,[?n'θ?l?d?i],n.诗集，文选
,anthropoid,['?nθr?p?id],a.像人类的；n.类人猿
,anthropological,[??nθr?p?'l?d?ik?l],a.人类学的
,anthropologist,"[,?nθr?'p?l?d?ist]",n.人类学家
,anthropology,[??nθr?'p?l?d?i],n.人类学
,antiaristocratic,[??nti?rist?'kr?tik],a.反贵族统治的
,antibiotic,"[,?ntibai'?tik]",n.抗生素；a.抗菌的
,antibiotics,[??ntibai'?tiks],n.抗生素
,antibody,"['?nti,b?di]",n.抗体(身体中的抗病物质)
,antic,['?ntik],a.古怪的
,anticipate,[?n'tisipeit],v.预期，期待
,anticipation,[?n?tisi'pei??n],"n.期望,预料"
,anticipatory,[?n'tisipeit?ri],a.预想的，预期的
,anticlimactic,[??ntiklai'm?ktik],a.高潮突降的;虎头蛇尾的
,anticlimax,"[,?nti'klaim?ks]",n.令人扫兴的结局;（演讲）突降法
,antidote,['?ntid?ut],n.解毒药
,antifebrile,[??nti:febr?l],a.退热的;n.退热药
,antifreeze,[??nti'fri:z],n.抗冻剂
,antigen,['?ntid??n;'?nt?d??n],"n.抗原(注射于动物体内,能使之产生抗体的物质)"
,antihistamine,"[,?nti'hist?mi(:)n]",n.(治疗过敏的)抗组胺剂
,antipathy,[?n'tip?θi],n.反感，厌恶
,antipode,['?ntip?ud;'?ntip?ud],"n.恰恰相反的事物(of,to);相对极,对极"
,antipsychotic,[?ntisaik?tik],"a.抑制精神的,n.安定药"
,antiquate,['?ntikweit;'?nt??kweit],"vt.使古旧,废弃"
,antiquated,['?ntikweitid],a.陈旧的，过时的
,antique,[?n'ti:k],a.古时的，古老的；n.古物，古董
,antiquity,[?n'tikwiti],n.古；古人；古迹
,antiseptic,"[,?nti'septik]",n.杀菌剂；a.防腐的
,antithesis,[?n'tiθisis],n.对立；相对
,antithetic,[??nti'θetik],a.对立的
,antithetical,"[,?nti'θetik?l]","a.对偶的,对立的"
,antitoxin,[??nti't?ksin],n.抗毒素
,antitrust law,[??nti'tr?st],n.反托拉斯法
,antiviral,[??nti:'vai?r?l;??nti'vair?l],a.抗病毒的
,antivirus,[??nti:'vai?r?s;??nti'vair?s],n.抗病毒素
,anvil,['?nvil],n.铁砧
,anxiety,[??'zai?ti],n.挂念，焦虑，焦急，忧虑；渴望，热望
,anxious,['?nk??s],a.焦虑的，担心的；急于(得到的)，渴望的
,any,['eni],"a.(用于否定句、疑问句等)什么,一些;任何的"
,anybody,"['eni,b?di]",pron.(否定句)任何人；(肯定句)随便哪个人
,anyhow,['enihau],ad.不管怎么说，无论如何；不论用何种方法
,anyone,['eniw?n],pron.(用于疑问句，否定式)任何人
,anything,['eniθi?],pron.任何东西(事物)；无论什么东西(事物)
,anyway,['eniwei],ad.不管怎么说，无论如何；不论以何种方式
,anywhere,['enihwε?],ad.无论哪里；(用于否定、疑问等)任何地方
,aorta,[ei'?:t?],n.主动脉
,apart,[?'pɑ:t],ad.分离，离开，隔开 a.分离的，分隔的
,apartheid,[?'pa:theit],n.(南非)种族隔离
,apartment,[?'pɑ:tm?nt],n.[英]房间，套间；[美]公寓
,apathetic,[??p?'θetik],a.冷淡的
,ape,[eip],"n.无尾猿,类人猿;模仿者;粗野的大汉"
,aperiodic,[?eipi?ri'?dik;?eipiri'?dik],a.非周期的
,aperture,['?p?tju?],n.孔隙，窄的缺口
,apex,['eipeks],n.顶点，最高点
,aphasia,[?'feizi?;?'fei?i?],n.失语症(因头部损伤)
,aphid,['eifid],n.蚜虫
,aphorism,['?f?rizm],n.格言
,apiary,['eipj?ri],n.养蜂场，蜂房
,aplomb,['?pl?:?],n.沉着，镇静
,apocalyptic,[?p?k?'liptik],a.预示世界末日的；启示的
,apocrypha,[?'p?krif?],n.伪经，伪书
,apocryphal,[?'p?krif(?)l],a.假冒的，虚假的
,apogee,['?p?ud?i:],n.远地点
,apolitical,[?eip?'litik?l],"a.不关心政治的,无政治意义的"
,apologise,[?'p?l?d?aiz],"v.(to,for)道歉，认错"
,apologist,[?'p?l?d?ist],n.辩护士(尤指卫护基督教教义的辩护者)
,apologize,[?'p?l?d?aiz],v.道歉；辩解
,apology,[?'p?l?d?i],n.道歉，认错，辩解，辩护
,apophasis,[?'p?f?sis],n.表面否认要说或正说的话(实际承认)
,apoplectic,"[,?p?u'plektik]",a.中风的；愤怒的
,apostasy,[?'p?st?si],n.背教，脱党
,apostate,[?'p?stit],n.背教者；变节者
,apostrophe,[?'p?str?fi],n.书写中撇号(’)(表示省略或所有格)
,apothecary,[?'p?θik?ri],n.药剂师
,apothegm,['?p?uθem],n.格言，警句
,apotheosis,"[?,p?θi'?usis]",n.神化;典范
,appal,[?'p?:l],v.使惊骇，使恐怖
,appall,[?'p?:l],v.使惊骇，使恐怖
,appalling,[?'p?:li?],"a.令人震惊的,骇人听闻的"
,apparatus,"[,?p?'reit?s]",n.仪器，设备
,apparel,[?'p?r?l],n.(精致的)衣服
,apparent,[?'p?r?nt],"a.表面上的,貌似真实的；显然的,明明白白的"
,apparition,"[,?p?'ri??n]",n.幽灵，神奇的现象
,appeal,[?'pi:l],v.恳求；吸引；上诉
,appealing,[?'pi:li?],"a.动人的,媚人的"
,appear,[?'pi?],vi.出现；出场；问世；仿佛；出版，发表
,appearance,[?'pi?r?ns],"n.外表,外貌;(公开)出现,来到"
,appearance,[?'pi?r?ns],n.出现，露面；外表；(在会议等)作短暂露面
,appease,[?'pi:z],v.使平静，安抚
,appellation,"[,?pe'lei??n]",n.名称，称呼
,appendage,[?'pendid?],n.附加物
,appendicitis,[??pendi'saitis;??pend?'saitis],n.阑尾炎
,appendix,[?'pendiks],n.附录，附属物；阑尾，盲肠
,appetite,['?pitait],n.欲望，食欲，爱好
,appetizer,['?pitaiz?(r)],n.开胃品
,appetizing,['?pitaizi?],a.美味可口的，促进食欲的
,applaud,[?'pl?:d],v.鼓掌表示欢迎或赞赏
,applause,[?'pl?:z],n.鼓掌，喝彩
,apple,['?pl],n.苹果，苹果树
,appliance,[?'plai?ns],"n.应用,适用;用具,品具,装置;医疗器械"
,appliance  ,[?'plai?ns],n.电器；器械，装置；应用，适用
,applicable,['?plik?bl],a.生效的，适合的
,applicable  ,['?plik?bl],"a.可应用(实施)的；适当的,合适的"
,applicant,['?plik?nt],n.申请人
,application,"[,?pli'kei??n]",n.请求，申请；应用，应用程序
,apply,[?'plai],vi.(以书面形式)申请；请求 vt.应用；实施
,appoint,[?'p?int],v.任命，指定；约会
,appointment,[?'p?intm?nt],"n.约会,约定；任命,委派;委任的职位"
,apportion,[?'p?:??n;?'p?ur??n],v.(按比例或计划)分配
,apposite,['?p?zit],a.适当的，恰当的
,appraisal,[?'preiz?l],n.对...作出的评价；评价，鉴定，评估
,appraise,[?'preiz],v.评价，鉴定
,appraiser,[?'preiz?],"n.评价人,鉴定人"
,appreciable,[?'pri:?i?bl],a.明显的，可观的
,appreciate,[?'pri:?ieit],v.欣赏；感激
,appreciation,[??pri:?i'ei??n],"n.欣赏,鉴赏正确评价;感谢,感激"
,appreciative,[?'pri:?i?tiv;?'pri:?i?eitiv],a.有欣赏力的;感激的
,apprehend,"[,?pri'hend]",v.逮捕；恐惧
,apprehensive,"[,?pri'hensiv]",a.有眼力的；害怕的
,apprentice,[?'prentis],n.学徒
,apprise,[?'praiz],v.通知，告诉
,approach,[?'pr?ut?],v.接近，靠近；着手处理；n.方法
,approaching,[?'pr?ut?i?],"a.接近的,逼近的"
,approbation,"[,?pr?'bei??n]",n.称赞，认可
,appropriate,[?'pr?uprieit],v.拨款；盗用；a.恰当的
,appropriation,[??pr?upri'ei??n],"n.拨款,挪用公款"
,approval,[?'pru:v?l],n.批准，通过；赞成，同意
,approve,[?'pru:v],v.(of)赞成，赞许，同意；批准，审议，通过
,approximate,[?'pr?ksimeit],a.大约的，估计的
,approximately,[?'pr?ksimitli;?'pr?ks?mitli],"ad.近似地,大约"
,appurtenances,[?'p?:tn?nsiz],n.附属物(名词appurtenance的复数形式)
,April,,(名)四月
,apron,['eipr?n],n.围裙
,apropos,['?pr?p?u],a./adv.适宜的(地)；有关
,apt,[?pt],a.易于?的；恰当的；聪明的
,aptitude,['?ptitju:d],n.适宜；才能，资质
,aptly,['?ptli],"ad.适当地,得体地"
,aquamarine,[??kw?m?'ri:n],n.绿玉;碧绿色
,aquarium,[?'kw??ri?m;?'kweri?m],n.水族馆
,aquatic,[?'kw?tik],a.水生的，水中的
,aqueduct,"['?kwi,d?kt]",n.引水渠；高架渠
,aquifer,['?kwif?],n.含水土层
,aquiline,['?kwilain],a.鹰的，似鹰的
,arabesque,"[,?r?'besk]",n.蔓藤图饰
,arable,['?r?bl],a.可耕的，适合种植的
,arachnid,[?'r?knid],n.蜘蛛类节肢动物
,arbiter,['ɑ:bit?],n.权威人士，泰斗
,arbitrary,['ɑ:bitr?ri],a.专横的，不理智的
,arbitrate,['ɑ:bitreit],v.仲裁，公断
,arbitrator,['ɑ:bitreit?;'ɑ:b??treit?],n.公断人
,arboreal,[ɑ:'b?:ri?l],a.树木的
,arboretum,"[,ɑ:b?'ri:t?m]",n.植物园
,arc,[ɑ:k],"n.弧形,拱形"
,Arcadia,[ɑ:'keidi?],"n.阿卡狄亚,世外桃源"
,arcane,[ɑ:'kein],a.神秘的，秘密的
,arch,[ɑ:t?],n.拱门，拱形v.使成拱形
,archaeological,[?a:ki?'l?d?ik?l],a.考古学的
,archaeologist,[?ɑ:ki'?l?d?ist],n.考古学家
,archaeology,"[,ɑ:ki'?l?d?i]",n.考古学
,archaic,[ɑ:'keiik],a.古代的;过时的(不再流行或使用的)
,archenemy,['ɑ:t?'enimi;?ɑ:rt?'en?mi],n.天敌;主要敌人
,archer,['ɑ:t??],n.弓箭手，射手
,archetype,['ɑ:kitaip],n.原型；典型例子
,archipelago,"[,ɑ:ki'peliɡ?u]",n.群岛
,architect,['ɑ:kitekt],n.建筑师
,architectural,[?ɑ:ki'tekt??r?l;?ɑ:k?'tekt??r?l],a.建筑上的;建筑学的
,architecture,['ɑ:kitekt??],n.建筑，建筑学；建筑式样或风格，建筑物
,archive,['ɑ:kaiv],n.档案室
,archives,['ɑ:kaivz],n.档案;档案室(保存历史事件的记录的场所或搜集物)
,archness,['ɑ:t?nis],"n.调皮,淘气"
,arctic,['ɑ:ktik],a.北极的；极寒的
,ardent,['ɑ:d?nt],a.热心的，热烈的
,arduous,['ɑ:dju?s;'ɑ:d?u?s],"a.费力的,艰难的(需要很大努力的)"
,area,['ε?ri?],n.面积；地区，地域；领域，范围
,arena,[?'ri:n?],n.(角斗的)竞技场
,argentine,['ɑ:d??ntain],a.银的;Argentine:n./a.阿根廷人(的)
,argentums,,n.银
,argot,['ɑ:ɡ?u],n.隐语，黑话
,argue,['ɑɡju:],vi.辩论，争论 vt.辩论，论证；说服，劝说
,argument,['ɑ:ɡjum?nt],n.争论(吵)，辩论；理由;论证
,argumentation,[?ɑ:gjumen'tei??n],"n.推论,论证;争论,辩论,辩论文"
,aria,['ɑ:ri?],n.独唱曲，咏叹调
,arid,['?rid],a.干旱的；枯燥的
,arise,[?'raiz],v.出现，发生；(from)由…引起，由…产生
,aristocracy,"[,?ris't?kr?si]",n.贵族；贵族政府，贵族统治
,arithmetic,[?'riθm?tik],n.算术，四则运算
,arithmetic mean,,n.算术平均数(总和除以个数)
,arithmetic progression,[pr?'gre??n],n.等差级数
,arm,[ɑ:m],n.手臂，扶手，臂状物 v.武装；配备 n.武器
,armada,[ɑ:'mɑ:d?],n.舰队
,armament,['ɑ:m?m?nt],"n.军队,武装力量;军械;武器,备战"
,armistice,['ɑ:mistis],n.休战，停战
,armor,['ɑ:m?],n.装甲;装甲车
,armored,['ɑ:m?d],"a.披甲的,装甲的"
,armory,['ɑ:m?ri],n.军械库
,arms,[ɑ:mz],"n.武器,兵种"
,army,['ɑ:mi],n.军队，陆军，军；大群，大批
,aroma,[?'r?um?],n.芳香，香气
,aromatic,"[,?r?u'm?tik]",a.芬芳的，芳香的
,around,[?'raund],ad.在...周围，到处 prep.在..四周(或附近)
,arouse,[?'rauz],v.唤醒；激发
,arraign,[?'rein],v.传讯;指责
,arrange,[?'reind?],v.安排，筹划；整理，使有条理，排列，布置
,arrangement,[?'reind?m?nt],"n.排列,安排"
,arrant,['?r?nt],a.完全的，彻底的；极坏的
,array,[?'rei],v.部署；n.陈列；大批
,arrest,[?'rest],v.依法逮捕；阻止，抑制
,arresting,[?'resti?],a.显著的，引人注意的
,arrhythmia,[?'riθmi?],n.心律不齐;心律失常
,arrhythmic,[?'ri?mik],a.无节奏的；不规则的
,arrival,[?'raiv?l],n.到达，到来；到达者，到达物
,arrive,[?'raiv],vi.到达；(时间、事件)到来，发生；达到
,arrogance,['?r?ɡ?ns],n.傲慢，自大
,arrogant,['?r?ɡ?nt],a.傲慢的，自大的
,arrogate,['?r?uɡeit],v.冒称具有?权利，霸占
,arrow,['?r?u],n.箭，矢，箭状物；箭头符号
,arroyo,[?'r?i?u],n.干涸的河床；小河
,arsenal,['ɑ:sinl],n.军械库
,arson,['ɑ:sn],n.纵火，放火
,art,[ɑ:t],n.艺术，美术；技术，技艺；文科，人文科学
,artery,['ɑ:t?ri],n.动脉，命脉
,arthritis,[ɑ:'θraitis],n.关节炎
,article,['ɑ:tik?l],n.文章，论文；条款，条文；物件；冠词
,articular,[a:'tikjul?],a.关节的
,articulate,[ɑ:'tikjulit],v.清楚说话；连接
,artifact,['ɑ:tif?kt],n.人工制品
,artifacts,['ɑ:tif?ks],n.史前古器物
,artifice,['ɑ:tifis],n.巧办法；诡计
,artificial,"[,ɑ:ti'fi??l]",a.人造的，假的
,artillery,[ɑ:'til?ri],n.大炮;炮兵
,artisan,[ɑ:ti'z?n;'ɑ:t?z?n],"n.手工业工人,手艺人"
,artist,['ɑ:tist],n.艺术家，美术家；(某方面的)能手
,artistic,[ɑ:'tistik],a.艺术(家)的，美术(家)的；善于艺术创作的
,artistry,['ɑ:tistri],n.艺术技巧
,artless,['ɑ:tlis],a.粗俗的；自然的
,as,,ad.同样地 conj.由于；像...一样 prep.作为
,as-yet-unexploited,,a.尚未开发利用的
,ascend,[?'send],vi.渐渐上升，升高vt.攀登，登上
,ascendancy,[?'send?nsi],n.统治权，支配力量
,ascending,[?'sendi?],"a.上升的,向上的"
,ascent,[?'sent],"n.上升,攀登"
,ascertain,[?'send],vt.确定，查明，弄清
,ascetic,[?'setik],a.禁欲的；n.苦行者
,ascribe,[?s'kraib],v.归功于；归咎于
,aseptic,[?'septik],a.洁净的；无菌的
,ash,[??],n.灰，灰末；(pl.)骨灰；(pl.)废墟
,ashamed,[?'?eimd],a.惭愧的，羞耻的，害臊的
,ashen,['???n],"a.灰色的,苍白的"
,ashore,[?'??:],ad.上岸；在岸上，向岸上
,aside,[?'said],ad.在旁边，到一边 n.旁白；离题的话
,asinine,['?sinain],a.愚笨的
,ask,"[ɑ:sk, ?sk]",vt.问，询问；请求，要求；邀请，约请
,askance,[?'sk?ns],adv.侧目而视，瞟
,askew,[?s'kju:],a.歪斜的；v.歪斜，弯曲
,asleep,[?'sli:p],a.睡觉，睡着(用作表语)
,asparagus,[?s'p?r?ɡ?s],[植]芦笋，龙须菜(可作蔬菜)
,aspect,['?spekt],n.(问题等的)方面；面貌，外表
,aspen,['?sp?n],n.白杨
,asperity,[?s'periti],n.严酷；粗鲁
spers,aspersion,[?s'p?:??n],n.诽谤，中伤
,asphalt,['?sf?lt],n.沥青
,asphyxia,[?s'fiksi?],n.窒息
